"theme_name","github_repository","github_direct_link","is_dark","screenshot","description"
"base16 Solar Flare {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-solar-flare.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_solar_flare.png","from the rsthemes package"
"base16 Solarized Dark {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-solarized-dark.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_solarized_dark.png","from the rsthemes package"
"base16 Solarized Light {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-solarized-light.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_solarized_light.png","from the rsthemes package"
"base16 Spacemacs {rsthemes, modified}, modified version","https://github.com/lucassxs/personal-rstudiotheme","https://raw.githubusercontent.com/lucassxs/personal-rstudiotheme/main/base16-spacemacs.rstheme",TRUE,"","modified version of the theme from the rsthemes package"
"base16 Spacemacs {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-spacemacs.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_spacemacs.png","from the rsthemes package"
"base16 Summerfruit Dark {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-summerfruit-dark.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_summerfruit_dark.png","from the rsthemes package"
"base16 Summerfruit Light {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-summerfruit-false.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_summerfruit_false.png","from the rsthemes package"
"base16 Tomorrow {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-tomorrow.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_tomorrow.png","from the rsthemes package"
"base16 Tomorrow Night {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-tomorrow-night.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_tomorrow_night.png","from the rsthemes package"
"base16 Twilight {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-twilight.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_twilight.png","from the rsthemes package"
